id          ,viewCount  ,likeCount ,commentCount
ezHvel4lnvY ,9280       ,      132 ,           0
z6EchXyieos ,40972064   ,   569673 ,        9936
7P3ayy_6je4 ,114003     ,      869 ,          25
ZDXsQPTEguY ,392891     ,     3369 ,         123
oRDRfikj2z8 ,6096800    ,    17391 ,         465
7B0RpmEMPWQ ,56810      ,      536 ,          23
1iROTSTndhg ,43251      ,      418 ,          23
vHO7BAGlF7o ,292793     ,     2528 ,          61
0DPZ9b9ZZr4 ,3309924    ,    16714 ,         693
wTdT_XPDwGw ,15367      ,      331 ,          18
DR4cL-XeSCE ,1749263    ,   116478 ,         208
s3esvZUwM90 ,51442      ,      443 ,          25
9-KWhNQeaHY ,54041      ,      565 ,          32
4PFjWTusngo ,64177      ,      421 ,          34
gOxrxR33H4Q ,92599      ,      543 ,          35
sbUWXFQU6cg ,965078     ,     5923 ,         115
aoQA2-lxU6I ,322714     ,     2383 ,          97
1kB6hQ1vjkE ,338650     ,     3097 ,          87
TlQtd9ygxs4 ,3693767    ,    12813 ,         406
Rkxs74KGdqo ,224719     ,     2132 ,          68
PGLZQgYWYEk ,1991350    ,    56904 ,        3140
Sg4hFC9rrzI ,8653848    ,    54589 ,         817
6QzcF3xdoF8 ,14444417   ,   128394 ,        2091
1pYd05TKUsM ,496479     ,     3209 ,          45
m72JJKO8QKc ,27298      ,      419 ,           5
phIM4-okihQ ,2411603    ,     7443 ,         106
VQdkz5W00OU ,42069      ,      300 ,          15
tqX7m_TBYww ,225553     ,     2139 ,         145
646fNW7fG5o ,25405650   ,   746604 ,       33397
mHj5iA6PPkU ,174784     ,     1150 ,          55
QXypOdZV1Ww ,260284     ,     2524 ,          69
0fkdLyt_aiE ,3592202    ,    54511 ,        2057
ZGwvgkmQhh8 ,2410048    ,    18148 ,         229
9_5wHw6l11o ,12945665   ,   196685 ,        6523
dOjLTDO6U5Y ,203909183  , 11855298 ,       23948
WEDndTCyGgU ,4230414    ,    81054 ,        1903
EvfpRo4ZMgY ,2058515    ,    39044 ,         317
fcD94e93cCk ,6361628    ,   119734 ,        3781
WHLgY6qvvW8 ,2777872    ,    21695 ,         164
nKjJuGRqgKA ,4827837    ,    53382 ,        1827
4_bw8JsXyaM ,8671551    ,   502928 ,        2327
Kes2fk-Nuwo ,1398807    ,    33177 ,         603
Z81sA9oM7uU ,13002088   ,   713821 ,         918
PEsqPX-PWOQ ,1507759    ,    28633 ,         541
oppJG9jisus ,10759827   ,   770540 ,        2078
gVPhaZOW-rQ ,223666302  , 12801131 ,       38992
-hVbutw9Z6o ,75044786   ,  2841367 ,        5502
jFW8v33ID8k ,686683     ,    16122 ,          97
NLPuCclm5lA ,5785213    ,    78608 ,        1829
HKrKUsXdCYA ,21512080   ,   180545 ,        5029
y3zLcCOnUzo ,2501280    ,   185880 ,         504
RM7jTGn2iJM ,598764     ,    36791 ,         137
7FZIRdLcRo8 ,607387     ,    39030 ,          47
-HgDBmJZB5c ,3340070    ,   125885 ,         660
h_63r3IVbMQ ,43992659   ,  2715881 ,        6152
tJlzIJaokVY ,1077625    ,    13057 ,         127
qzL0d-F3zvE ,1152493    ,    89912 ,         618
YbvknpVonIk ,804385     ,    24954 ,         566
ZDLMshyBiVk ,13839833   ,  1017966 ,        2146
z-GGS_hRW1s ,114217527  ,  2683769 ,        2870
1RMKR8h03iw ,50348208   ,   877468 ,       16051
bYU5Sdn4QjI ,3705214    ,   223655 ,         338
Hyz0C7i3ysU ,978463     ,    12829 ,         302
HaD6ByfJlBA ,37800994   ,  1584723 ,       15983
QnxLau7m600 ,14942598   ,   154114 ,        6042
oCLdx0Vpiqs ,2815561    ,    92914 ,         138
KNWgQ77WhoA ,619636     ,    17422 ,         689
pel1XuJjWdk ,102758326  ,  2982700 ,        4910
CoK_Kzq9Fkk ,93116626   ,  5490523 ,       28771
i5T6Fnbq34c ,13028834   ,   627312 ,       10323
X_qo3lnRS1k ,21219627   ,   364230 ,       11687
41DeiOZf67g ,7005442    ,   131372 ,        8041
5N96buzaRoE ,8176698    ,   346890 ,         386
mhDJNfV7hjk ,16445737   ,   435052 ,       13243
1i-4yex9oEM ,4604983    ,   258058 ,         774
eQwSMNAirYk ,220716     ,    11661 ,         448
bAfyQ-ROisE ,15293147   ,   569523 ,         427
0IIcE7Tke5E ,4852800    ,   234368 ,         327
6y7N7bsjueE ,5596654    ,   403657 ,         555
uPlP_-5_WF8 ,38417      ,      397 ,           0
hzBTukQZECE ,141754497  ,  5750125 ,       13845
5cLY3zKXB64 ,3370305    ,   213095 ,         153
SlIA_zG281Y ,2827940    ,   206280 ,         413
BAwoqiMgDk4 ,751519     ,     6376 ,         555
QUjxsuGwTA8 ,6094272    ,   136321 ,       18586
ZzM_ePCJ0wY ,126304     ,     3068 ,         305
b2f2Kqt_KcE ,8213329    ,    39036 ,        1638
xGlIfuWCdK4 ,6142401    ,    48361 ,        5627
GtjSxdCRNRU ,1442607    ,    21063 ,        1915
GyAKLundvvc ,6294557    ,    66011 ,        1893
DuuBIlGPfSg ,2107657    ,     9274 ,         180
irp_XBZz2R0 ,2300118    ,    22052 ,         530
xBasQG_6p40 ,12441387   ,   489999 ,       12535
Jxm_sV70b1w ,10878463   ,   173277 ,        5635
t3NXLJArTzk ,637922     ,     6886 ,         648
qkLW39MEmEs ,194452     ,     1610 ,          71
uhYLfK8GSr0 ,9813206    ,    46506 ,        5120
6i_5D9ZPHpY ,3460528    ,    24206 ,        1192
yX5JjbIZJ6c ,82514      ,     6103 ,          35
WER7X-SWZXY ,1214563    ,    72014 ,        2931
MwqsTyYeqsA ,691536     ,    10641 ,        1881
zJMCctR8ivc ,9645679    ,    66765 ,        3413
V3fkVga2q7I ,4537129    ,   251708 ,       15375
88uGPR3P78o ,444230     ,     4442 ,         193
mIBRDpEDsZA ,127113     ,     2607 ,         134
Xtl4WcoFp7k ,503795     ,     4716 ,        1006
HcSnmKD0wWQ ,10684806   ,    75195 ,        3678
X8QjCzE22WM ,2667255    ,    29278 ,         132
ZhdFEAsGgtc ,3423384    ,   190884 ,        5098
ihX1pRMmxp8 ,7036451    ,   247691 ,        3288
bs6ex_ZCIWU ,290937     ,     3206 ,         191
OpISHolWtKs ,1998073    ,    14458 ,        1019
gKKrhSa_Hcs ,172691     ,     1448 ,          45
FVi7n-6txcg ,3309168    ,    79792 ,        1855
UYa6gbDcx18 ,1959719    ,    14478 ,        1946
asAd-E5_HPo ,2592182    ,    78854 ,        3000
Xv9aaTJVIxA ,3881094    ,    71616 ,        4913
ubIQZ-ebwKI ,51793      ,     1453 ,          96
BBH9F3UEKJU ,1438630    ,    24365 ,         388
Xak_PM3FQYg ,2854552    ,    17325 ,         922
2qVk1KkEnQY ,4175156    ,    17836 ,         593
WCrmkX35Xks ,24040891   ,   105278 ,        1598
WXBC5Rdm0nE ,51511      ,      940 ,         172
053AUUF4LGs ,4022493    ,    29970 ,        1142
0Onzl2z5gpQ ,3950839    ,    31239 ,        1307
mUqeBMP8nEg ,22576594   ,   480461 ,       20506
XGpP8gaD7QA ,20239      ,      286 ,           6
Y4aSrA8yHmc ,10958824   ,    76628 ,         979
XRV1KFXIXcM ,1113225    ,     8940 ,           0
DsI-FTS9ZmU ,891064     ,    23471 ,        1188
3MjxoaynCmk ,6959701    ,    37838 ,        2945
Ca2W-h9uuKw ,1543201    ,    84681 ,        4975
e9gW3Ejg2uY ,24669286   ,   148733 ,        4486
KU7BpDbaN7A ,57850507   ,   588046 ,        4101
QvV50hRL4xo ,9188703    ,    50244 ,        1749
GsLopdvhFpk ,23796924   ,   513816 ,        7490
N2QBq1tJCOs ,1808106    ,    38253 ,        1053
C84Zka_c23g ,23719442   ,   236835 ,           0
HvDo82kaxck ,66295371   ,   372999 ,            
aF7kKPE1WdM ,2957828    ,   158312 ,         174
A2FsgKoGD04 ,246465958  ,  3238222 ,       94001
_HHV7x4gkYU ,1137398    ,    31235 ,        2054
4LjskpM73-0 ,68103402   ,   945849 ,       16739
4F5mKkbHoF4 ,290512     ,     7581 ,         413
ejBNB_A-H5Y ,11421452   ,   139965 ,       10329
Gf9T4gzitSo ,80695      ,     2391 ,         164
weqUK61mXfk ,11230574   ,    36362 ,        1124
n7UYBzaelWA ,458349     ,     9867 ,         282
40QPNtmsWfk ,49245189   ,  1454648 ,        2104
S2Mw_XHv9Nw ,47399263   ,  2678291 ,        4523
lqIWuwmLcqE ,7517813    ,   133623 ,        1068
LNRT2rtNQcg ,23468195   ,   910589 ,         997
yPFLwAotDzE ,7286345    ,    54985 ,        1111
_32qLIarOW4 ,22600024   ,   188847 ,           0
EeYbBEdBlig ,75808918   ,  1750783 ,        3787
kO20u9SCwhA ,18097      ,     1300 ,           9
F53Pwh-leX4 ,23258498   ,  1513780 ,        1330
yEMGT9DMEQg ,13170050   ,   136368 ,         754
KlajSRc80pQ ,34803404   ,   201419 ,           0
_vsS0eO7csY ,4171316    ,    28885 ,            
6xYHJsDWiTs ,1816129    ,    93405 ,         432
jDzPz_zGv2M ,947762     ,    16037 ,         323
CfEb4jPNfsU ,7219938    ,   512382 ,        1611
Ls42K_b6JNk ,9256248    ,    74909 ,            
GU1cthebL8U ,6267164    ,   349122 ,         416
rIDt_ZulMOw ,49293424   ,   194327 ,        5844
AIdu9PpT3ms ,16800960   ,   154758 ,        2466
kRNL9TKDjcE ,26440978   ,   408101 ,        6735
cEDaY4KsZ4w ,6363213    ,    19764 ,           0
poTuM3VHpoQ ,6332583    ,    80729 ,            
hN507yrGm8k ,556420     ,    35688 ,         213
Gewife0GqfY ,15028206   ,   289509 ,        1291
HYiJQb4CyFk ,10662695   ,   698305 ,        1302
CkZ84BVTpqo ,1265144    ,    10151 ,         192
bPYKcf89f80 ,46614942   ,  2948852 ,        6656
6LAxUic1gGU ,229123     ,    15716 ,        1145
FUuR7hsGpjE ,22137067   ,    67380 ,           0
sVi1_ZFExZM ,4066222    ,   177911 ,         133
B_VxxI7_QoM ,36296601   ,  1864680 ,        1501
diqmqpXmfuk ,11049494   ,    35094 ,            
14R0VuBUUEI ,531262     ,    24014 ,          91
